species,length,mass
Hexaplex trunculus,41.43,7.83
Hexaplex trunculus,42.67,9.91
Hexaplex trunculus,37.55,6.95
Phorcus turbinatus,20.83,4.33
Phorcus turbinatus,22.22,5.06
Phorcus turbinatus,22.93,5.51
Phorcus turbinatus,24.74,7.19
Phorcus turbinatus,22.69,5.09
Phorcus turbinatus,21.96,4.59
Phorcus turbinatus,21.68,4.84
Phorcus turbinatus,22.39,5
Phorcus turbinatus,21.13,4.76
Phorcus turbinatus,16.34,2
Phorcus turbinatus,21.15,4.37
Phorcus turbinatus,21.62,5.01
Phorcus turbinatus,15.16,1.64
Hexaplex trunculus,50.41,18.55
Hexaplex trunculus,41.32,7.44
Hexaplex trunculus,45.42,10.59
Hexaplex trunculus,24.16,12.94
Hexaplex trunculus,55.3,24.35
Hexaplex trunculus,32.45,5.25
Hexaplex trunculus,36.22,7.12
Hexaplex trunculus,40.87,9.83
Hexaplex trunculus,40.7,7.82
Phorcus turbinatus,23.19,5.32
Phorcus turbinatus,25.44,5.82
Phorcus turbinatus,23.36,5.96
Phorcus turbinatus,24.33,7.04
Phorcus turbinatus,20.55,3.86
Phorcus turbinatus,20.4,4.21
Phorcus turbinatus,18.12,2.52
Phorcus turbinatus,20.88,4.38
Phorcus turbinatus,22.82,5.09
Phorcus turbinatus,22.31,5.12
Phorcus turbinatus,20.35,3.9
Phorcus turbinatus,23.05,5.76
Phorcus turbinatus,22.03,4.48
Phorcus turbinatus,16.26,2.06
Phorcus turbinatus,14.76,1.46
Phorcus turbinatus,13.92,1.32
Phorcus turbinatus,15.45,1.85
Phorcus turbinatus,14.63,1.53
Phorcus turbinatus,20.77,4.17
Phorcus turbinatus,21.33,5.43
Phorcus turbinatus,26.9,8.41
Phorcus turbinatus,22.15,5.68
Hexaplex trunculus,40.26,9.28
Hexaplex trunculus,55.05,24.19
Hexaplex trunculus,35.72,5.53
Hexaplex trunculus,38.6,5.64
Phorcus turbinatus,15.58,1.98
Phorcus turbinatus,8.8,0.34
Phorcus turbinatus,10.2,0.69
Phorcus turbinatus,8.87,0.37
Phorcus turbinatus,9.47,0.49
Phorcus turbinatus,8.39,0.27
Phorcus turbinatus,14,1.47
Phorcus turbinatus,15.11,2.41
Hexaplex trunculus,34.62,7.05
Hexaplex trunculus,35.99,6.23
Hexaplex trunculus,41.57,10.64
Hexaplex trunculus,37.53,6.27
Phorcus turbinatus,18.71,2.73
Phorcus turbinatus,17.43,2.71
Phorcus turbinatus,19.52,3.43
Phorcus turbinatus,16.03,2.2
Phorcus turbinatus,16.38,2.38
Phorcus turbinatus,16.12,2.14
Phorcus turbinatus,16.28,2.03
Phorcus turbinatus,15.46,2.15
