site,date,species,original,adjusted
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,7,43.75
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,7,43.75
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,9,56.25
Xwejni,05.06.21,Phorcus turbinatus,9,56.25
Xwejni,05.06.21,Phorcus turbinatus,13,81.25
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,7,43.75
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,3,18.75
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,2,12.5
Xwejni,05.06.21,Phorcus turbinatus,4,25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,9,56.25
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,1,6.25
Xwejni,05.06.21,Phorcus turbinatus,0,0
Xwejni,05.06.21,Phorcus turbinatus,6,37.5
Xwejni,05.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,3,18.75
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,8,50
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,2,12.5
Xwejni,06.06.21,Phorcus turbinatus,0,0
Xwejni,06.06.21,Phorcus turbinatus,5,31.25
Xwejni,06.06.21,Phorcus turbinatus,3,18.75
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,2,12.5
Xwejni,06.06.21,Phorcus turbinatus,4,25
Xwejni,06.06.21,Phorcus turbinatus,2,12.5
Xwejni,06.06.21,Phorcus turbinatus,3,18.75
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,1,6.25
Xwejni,06.06.21,Phorcus turbinatus,6,37.5
Xwejni,10.06.21,Phorcus turbinatus,7,43.75
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,0,0
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,4,25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,3,18.75
Xwejni,10.06.21,Phorcus turbinatus,3,18.75
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,1,6.25
Xwejni,10.06.21,Phorcus turbinatus,4,25
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,2,12.5
Xwejni,10.06.21,Phorcus turbinatus,3,18.75
