site,date,time,position,tide,lat.position,length,mass,day,survival
Xwejni,05.06.21,16:55,-1,0.12,-0.88,14.04,1.63,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,13.8,1.81,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,14.98,1.91,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,12.25,1.06,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,18.8,3.7,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,15.96,2.32,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,14.94,2.03,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,15.69,1.96,2,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,12.17,1.01,2,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,16.28,2.12,2,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,15.51,2.16,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,16.66,2.68,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,16.31,2.23,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,16.02,2.01,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,16.44,2.25,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,15.71,1.96,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,14.49,1.89,4,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,14.8,1.9,4,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,14.38,NA,4,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,15.83,NA,4,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,15.71,2.27,6,1
Xwejni,05.06.21,16:55,-1,0.12,-0.88,19.6,NA,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,19.81,NA,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,20.17,4.31,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,20.49,NA,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,21.36,NA,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,18.74,NA,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,18.46,3.64,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,17.85,NA,6,0
Xwejni,05.06.21,16:55,-1,0.12,-0.88,20.73,4.54,6,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,15.72,2.1,4.916666667,1
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,13.21,1.17,4.916666667,1
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,18.8,3.44,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,7.02,NA,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,15.25,NA,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,12.5,NA,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,14.26,1.84,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,11.86,0.9,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,17.95,NA,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,13.48,1.33,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,19.2,3.61,4.916666667,1
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,7.04,NA,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,13.12,NA,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,13.05,1.33,4.916666667,1
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,13.78,1.63,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,16.74,2.95,4.916666667,1
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,15.03,2.19,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,8.77,0.44,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,9.27,0.53,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,10.9,0.74,4.916666667,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,15.25,NA,7,0
Dwejra,10.06.21,16:20,-4.6,0.23,-4.37,16.89,2.46,7,0
